number,cid,name,smiles,pIC50(pred),similarity_max
kampo_2928,151590,"beta-D-Glucopyranose, cyclic 4,6-((1S)-4,4',5,5',6,6'-hexahydroxy(1,1'-biphenyl)-2,2'-dicarboxylate) 1,2,3-tris(3,4,5-trihydroxybenzoate)",C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6C7=C(C(=C(C=C7C(=O)O1)O)O)O)O)O)O,5.729947035,0.195652174
kampo_2832,5281703,Wogonin,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O,5.71675742,0.318181818
kampo_1105,154728402,CID 154728402,C1C(C(OC2=C1C(=CC(=C2CC3=C(C=C4C(=C3O)CC(C(O4)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)C8=CC(=C(C(=C8)O)O)O)OC(=O)C9=CC(=C(C(=C9)O)O)O,5.709423743,0.260273973
kampo_2609,5281794,Shogaol,CCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC,5.705487701,0.275362319
kampo_0524,5322078,4'-Hydroxywogonin,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=C(C=C3)O)O)O,5.69865945,0.34
kampo_2522,5281252,Rubixanthin,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C,5.698133405,0.197530864
kampo_2707,439533,Taxifolin,C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,5.689324065,0.543478261
kampo_2216,439246,Naringenin,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,5.689085321,0.38
kampo_1481,5281238,Flavoxanthin,CC1=CC(CC(C1C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C2C=C3C(CC(CC3(O2)C)O)(C)C)C)C)(C)C)O,5.680893384,0.127659574
kampo_1380,161557,Dihydromyricetin,C1=C(C=C(C(=C1O)O)O)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O,5.661205543,0.38
kampo_1287,5281233,Crocin,CC(=CC=CC=C(C)C=CC=C(C)C(=O)OC1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O)C=CC=C(C)C(=O)OC3C(C(C(C(O3)COC4C(C(C(C(O4)CO)O)O)O)O)O)O,5.647806566,0.217948718
kampo_0534,42607705,"4,2',4'-Trihydroxy-6'-methoxydihydrochalcone",COC1=CC(=CC(=C1C(=O)CCC2=CC=C(C=C2)O)O)O,5.646037851,0.3125
kampo_1863,5281666,Kaempferide,COC1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,5.64487218,0.674418605
kampo_0520,14585506,"4',5-Dihydroxy-7,8-dimethoxyflavone",COC1=C(C2=C(C(=C1)O)C(=O)C=C(O2)C3=CC=C(C=C3)O)OC,5.641379158,0.38
kampo_2153,5281670,Morin,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,5.637965834,0.666666667
kampo_2036,446925,Lycopene,CC(=CCCC(=CC=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C)C)C,5.635617238,0.24137931
kampo_0830,65036,Allicin,C=CCSS(=O)CC=C,5.633751608,0.094339623
kampo_0612,5321865,"5,7,2',6'-Tetrahydroxyflavone",C1=CC(=C(C(=C1)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,5.631715117,0.404255319
kampo_1797,638278,Isoliquiritigenin,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O,5.631705258,0.525
kampo_2233,5282217,Neoxanthin,CC(=CC=CC=C(C)C=CC=C(C)C=C=C1C(CC(CC1(C)O)O)(C)C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C,5.627612752,0.144329897
kampo_2819,448438,Violaxanthin,CC(=CC=CC=C(C)C=CC=C(C)C=CC12C(CC(CC1(O2)C)O)(C)C)C=CC=C(C)C=CC34C(CC(CC3(O4)C)O)(C)C,5.627183308,0.116883117
kampo_1701,15228661,Hispaglabridin B,CC1(C=CC2=C(O1)C=CC(=C2O)C3CC4=C(C5=C(C=C4)OC(C=C5)(C)C)OC3)C,5.621485437,0.207792208
kampo_2434,12305721,Preskimmianine,CC(=CCC1=C(C2=C(C(=C(C=C2)OC)OC)NC1=O)OC)C,5.620214831,0.37704918
kampo_1673,5280953,Harmine,CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC,5.61722833,0.314814815
kampo_2625,6760,Skimmianine,COC1=C(C2=C(C=C1)C(=C3C=COC3=N2)OC)OC,5.611156222,0.254901961
kampo_0433,5284648,"3',4',7-Trihydroxyisoflavone",C1=CC(=C(C=C1C2=COC3=C(C2=O)C=CC(=C3)O)O)O,5.600594678,0.416666667
kampo_0782,64961,"9H-Pyrido[3,4-B]indole",C1=CC=C2C(=C1)C3=C(N2)C=NC=C3,5.600420177,0.259259259
kampo_0119,6546086,"(2S)-5,7-Dihydroxy-6-(3-methylbut-2-enyl)-2-phenylchroman-4-one",CC(=CCC1=C(C2=C(C=C1O)OC(CC2=O)C3=CC=CC=C3)O)C,5.596030962,0.383333333
