comp_name,comp_356,comp_527,comp_346,comp_345,comp_339,comp_150,comp_379,comp_247,comp_100,comp_274,comp_291,comp_206,comp_394,comp_161,comp_267,comp_435,comp_383,comp_349,comp_073,comp_162,comp_338,comp_505,comp_410,comp_471,comp_202,comp_393,comp_201,comp_470,comp_203,comp_035,comp_263,comp_264,comp_265,comp_266,comp_129,comp_328,comp_005,comp_523,comp_074,comp_039,comp_395,comp_038,comp_268,comp_384,comp_321,comp_322,comp_037,comp_456,comp_237,comp_535
comp_291,0.07407407407407407,0.14953271028037382,0.12264150943396226,0.09009009009009009,0.07964601769911504,0.09345794392523364,0.09345794392523364,0.12264150943396226,0.11009174311926606,0.0990990990990991,1.0,0.16091954022988506,0.14772727272727273,0.17857142857142858,0.13953488372093023,0.7076923076923077,0.125,0.819672131147541,0.14444444444444443,0.13953488372093023,0.14736842105263157,0.16304347826086957,0.1702127659574468,0.1702127659574468,0.2087912087912088,0.16304347826086957,0.19318181818181818,0.16326530612244897,0.16304347826086957,0.16304347826086957,0.17708333333333334,0.17582417582417584,0.22988505747126436,0.1702127659574468,0.15625,0.043478260869565216,0.1276595744680851,0.06666666666666667,0.06862745098039216,0.08571428571428572,0.07920792079207921,0.09302325581395349,0.06521739130434782,0.06666666666666667,0.07526881720430108,0.07476635514018691,0.17045454545454544,0.10112359550561797,0.10869565217391304,0.0989010989010989
comp_206,0.09375,0.08737864077669903,0.08,0.057692307692307696,0.05714285714285714,0.06,0.10416666666666667,0.1368421052631579,0.1702127659574468,0.20652173913043478,0.16091954022988506,1.0,0.6071428571428571,0.6923076923076923,0.6415094339622641,0.12359550561797752,0.5396825396825397,0.16279069767441862,0.5862068965517241,0.6415094339622641,0.10112359550561797,0.12941176470588237,0.13793103448275862,0.17857142857142858,0.16470588235294117,0.12941176470588237,0.13253012048192772,0.13186813186813187,0.12941176470588237,0.12941176470588237,0.21428571428571427,0.1566265060240964,0.1566265060240964,0.2375,0.12359550561797752,0.05172413793103448,0.11764705882352941,0.08974358974358974,0.11363636363636363,0.14444444444444443,0.07692307692307693,0.12162162162162163,0.0875,0.08974358974358974,0.08536585365853659,0.08333333333333333,0.13580246913580246,0.10126582278481013,0.22972972972972974,0.09876543209876543
comp_394,0.08247422680412371,0.12,0.10204081632653061,0.0784313725490196,0.07766990291262135,0.08163265306122448,0.09278350515463918,0.16129032258064516,0.15789473684210525,0.14432989690721648,0.14772727272727273,0.6071428571428571,1.0,0.660377358490566,0.6730769230769231,0.1111111111111111,0.5901639344262295,0.14942528735632185,0.6140350877192983,0.6730769230769231,0.11363636363636363,0.12941176470588237,0.13793103448275862,0.13793103448275862,0.16470588235294117,0.12941176470588237,0.14634146341463414,0.13186813186813187,0.12941176470588237,0.12941176470588237,0.14606741573033707,0.1566265060240964,0.1566265060240964,0.13793103448275862,0.12359550561797752,0.05172413793103448,0.15853658536585366,0.1038961038961039,0.12643678160919541,0.14444444444444443,0.08888888888888889,0.12162162162162163,0.0875,0.1038961038961039,0.09876543209876543,0.09473684210526316,0.13580246913580246,0.12987012987012986,0.1518987341772152,0.12658227848101267
comp_161,0.08421052631578947,0.1,0.10416666666666667,0.06930693069306931,0.07920792079207921,0.07216494845360824,0.08333333333333333,0.16483516483516483,0.14893617021276595,0.13541666666666666,0.17857142857142858,0.6923076923076923,0.660377358490566,1.0,0.7,0.15294117647058825,0.5833333333333334,0.1951219512195122,0.6666666666666666,0.7,0.11627906976744186,0.13253012048192772,0.15476190476190477,0.1411764705882353,0.22784810126582278,0.13253012048192772,0.13580246913580246,0.14772727272727273,0.13253012048192772,0.13253012048192772,0.16279069767441862,0.16049382716049382,0.175,0.1411764705882353,0.12643678160919541,0.05357142857142857,0.13414634146341464,0.10666666666666667,0.11627906976744186,0.1348314606741573,0.07865168539325842,0.125,0.08974358974358974,0.10666666666666667,0.0875,0.0851063829787234,0.13924050632911392,0.11842105263157894,0.14102564102564102,0.11538461538461539
comp_267,0.0851063829787234,0.11224489795918367,0.10526315789473684,0.08080808080808081,0.08,0.08421052631578947,0.09574468085106383,0.1797752808988764,0.17582417582417584,0.16129032258064516,0.13953488372093023,0.6415094339622641,0.6730769230769231,0.7,1.0,0.12790697674418605,0.6785714285714286,0.18292682926829268,0.78,0.8666666666666667,0.13095238095238096,0.14814814814814814,0.1566265060240964,0.1566265060240964,0.18518518518518517,0.14814814814814814,0.1518987341772152,0.14942528735632185,0.14814814814814814,0.14814814814814814,0.16470588235294117,0.17721518987341772,0.17721518987341772,0.1566265060240964,0.1411764705882353,0.05454545454545454,0.15,0.1232876712328767,0.11764705882352941,0.13636363636363635,0.07954545454545454,0.1267605633802817,0.09090909090909091,0.1232876712328767,0.08860759493670886,0.09782608695652174,0.15584415584415584,0.1506849315068493,0.17333333333333334,0.14666666666666667
comp_435,0.11650485436893204,0.0990990990990991,0.102803738317757,0.1111111111111111,0.12037037037037036,0.11538461538461539,0.11538461538461539,0.1568627450980392,0.1320754716981132,0.1308411214953271,0.7076923076923077,0.12359550561797752,0.1111111111111111,0.15294117647058825,0.12790697674418605,1.0,0.11458333333333333,0.8032786885245902,0.13333333333333333,0.12790697674418605,0.16129032258064516,0.15217391304347827,0.1595744680851064,0.1595744680851064,0.1978021978021978,0.20454545454545456,0.15555555555555556,0.15306122448979592,0.15217391304347827,0.17777777777777778,0.16666666666666666,0.16483516483516483,0.21839080459770116,0.1595744680851064,0.14583333333333334,0.04411764705882353,0.09375,0.09195402298850575,0.1134020618556701,0.13,0.08,0.09411764705882353,0.06593406593406594,0.09195402298850575,0.11235955056179775,0.09615384615384616,0.1590909090909091,0.12790697674418605,0.1348314606741573,0.125
comp_383,0.20430107526881722,0.2268041237113402,0.22340425531914893,0.19387755102040816,0.1919191919191919,0.20212765957446807,0.21505376344086022,0.3372093023255814,0.32954545454545453,0.3111111111111111,0.125,0.5396825396825397,0.5901639344262295,0.5833333333333334,0.6785714285714286,0.11458333333333333,1.0,0.15053763440860216,0.6779661016949152,0.6785714285714286,0.12903225806451613,0.14444444444444443,0.16483516483516483,0.15217391304347827,0.17777777777777778,0.14444444444444443,0.14772727272727273,0.14583333333333334,0.14444444444444443,0.14444444444444443,0.1595744680851064,0.17045454545454544,0.17045454545454544,0.15217391304347827,0.13829787234042554,0.0625,0.1724137931034483,0.15,0.11702127659574468,0.13402061855670103,0.08247422680412371,0.125,0.09302325581395349,0.12195121951219512,0.09090909090909091,0.09900990099009901,0.1511627906976744,0.34285714285714286,0.3611111111111111,0.3333333333333333
comp_349,0.09523809523809523,0.12962962962962962,0.12380952380952381,0.1111111111111111,0.1,0.11538461538461539,0.11538461538461539,0.14563106796116504,0.1320754716981132,0.12037037037037036,0.819672131147541,0.16279069767441862,0.14942528735632185,0.1951219512195122,0.18292682926829268,0.8032786885245902,0.15053763440860216,1.0,0.1724137931034483,0.1686746987951807,0.17391304347826086,0.20454545454545456,0.2111111111111111,0.2111111111111111,0.25287356321839083,0.20454545454545456,0.20930232558139536,0.20212765957446807,0.20454545454545456,0.20454545454545456,0.21739130434782608,0.21839080459770116,0.27710843373493976,0.2111111111111111,0.1956521739130435,0.04411764705882353,0.12903225806451613,0.09195402298850575,0.06930693069306931,0.08653846153846154,0.08,0.09411764705882353,0.06593406593406594,0.09195402298850575,0.07608695652173914,0.09615384615384616,0.21428571428571427,0.12790697674418605,0.1348314606741573,0.125
comp_073,0.11458333333333333,0.15151515151515152,0.15789473684210525,0.12,0.13,0.125,0.1134020618556701,0.1956521739130435,0.19148936170212766,0.17708333333333334,0.14444444444444443,0.5862068965517241,0.6140350877192983,0.6666666666666666,0.78,0.13333333333333333,0.6779661016949152,0.1724137931034483,1.0,0.78,0.16279069767441862,0.12643678160919541,0.14772727272727273,0.1348314606741573,0.1744186046511628,0.12643678160919541,0.12941176470588237,0.14130434782608695,0.12643678160919541,0.12643678160919541,0.15555555555555556,0.15294117647058825,0.15294117647058825,0.1348314606741573,0.12087912087912088,0.05,0.15476190476190477,0.14473684210526316,0.12359550561797752,0.14130434782608695,0.08695652173913043,0.11842105263157894,0.08536585365853659,0.11538461538461539,0.0963855421686747,0.10416666666666667,0.13253012048192772,0.17105263157894737,0.19230769230769232,0.16666666666666666
comp_162,0.0851063829787234,0.11224489795918367,0.10526315789473684,0.08080808080808081,0.08,0.08421052631578947,0.09574468085106383,0.1797752808988764,0.17582417582417584,0.16129032258064516,0.13953488372093023,0.6415094339622641,0.6730769230769231,0.7,0.8666666666666667,0.12790697674418605,0.6785714285714286,0.1686746987951807,0.78,1.0,0.13095238095238096,0.13414634146341464,0.14285714285714285,0.14285714285714285,0.17073170731707318,0.13414634146341464,0.1375,0.13636363636363635,0.13414634146341464,0.13414634146341464,0.1511627906976744,0.1625,0.1625,0.14285714285714285,0.12790697674418605,0.05454545454545454,0.15,0.1232876712328767,0.11764705882352941,0.13636363636363635,0.07954545454545454,0.1267605633802817,0.09090909090909091,0.1232876712328767,0.08860759493670886,0.09782608695652174,0.14102564102564102,0.1506849315068493,0.17333333333333334,0.14666666666666667
