number,pIC50(pred),cid,name,smiles,rex,rUV,rorb,rIR,rfreq,IPv,C-S0,S0-C,EAv,A-S0,S0-A,STv,T1-S0,S0-T1,Esolv,mu,Vmol,MW,B1,B2,B3,1/dE1,1/dE2,1/dE3,1/dE4,1/dE5,1/dE6,1/dE7,1/dE8,1/dE9,1/dE10,1/dE11,1/dE12,1/dE13,1/dE14,1/dE15,1/dE16,1/dE17,1/dE18,1/dE19,1/dE20,1/dE21,1/dE22,1/dE23,1/dE24,1/dE25,1/dE26,1/dE27,1/dE28,1/dE29,1/dE30
kampo_1438,5.577019447,440735,Eriodictyol,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,19.18719993,12.69679243,88.89954873,27.63802471,73.30843854,8.00959458,0.3126133,0.30130413,-0.32470287,0.30862199,0.30476292,3.77950014,1.00084044,0.88889112,-0.57895973,1.5374,188.673,288.255,14.18269358,8.291218485,5.531757333,0.239057159,0.222192597,0.200581687,0.191000076,0.18692637,0.164839693,0.161129193,0.158634474,0.153607471,0.147627624,0.144015438,0.14338151,0.14277148,0.141775598,0.140773692,0.137735355,0.136371695,0.136058124,0.135613447,0.132257638,0.132168488,0.13072579,0.128959043,0.12765034,0.126617539,0.126151129,0.124517495,0.123791486,0.123152709,0.122282276
kampo_2852,5.576753197,5281234,Zeinoxanthin,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CCCC2(C)C)C)C)C,25.48612335,10.99251904,87.87195157,17.95964235,64.11125469,6.10680881,0.30460646,0.27934023,0.92023302,0.32241905,0.30036481,1.98902641,1.16792986,0.91446266,-0.36221051,1.2357,490.757,552.887,31.33116824,9.468937136,8.345819699,0.340843246,0.255734854,0.249301955,0.218369219,0.206679894,0.197495754,0.191391223,0.185849425,0.178667143,0.176822152,0.169929309,0.163001842,0.162134994,0.161576991,0.161214916,0.158458516,0.157569646,0.156147528,0.153522575,0.153129977,0.152309005,0.14944779,0.148361349,0.146233037,0.145957701,0.144368891,0.144133756,0.143608008,0.141394717,0.141274864
kampo_1409,5.576354487,5281855,Ellagic acid,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,26.63606393,25.65870474,82.74394027,58.91772999,58.52600194,8.04786685,0.25331236,0.24631261,0.35548532,0.28546352,0.28614706,3.41218375,0.4347115,0.42935121,-0.42977815,0.0004,176.262,302.194,11.42329714,10.03114606,3.3976401,0.241650959,0.213625003,0.209323258,0.194943174,0.194340796,0.193419856,0.183284457,0.176466436,0.173608097,0.172031172,0.164842411,0.162022035,0.153862724,0.153273148,0.147312287,0.146273678,0.142716465,0.14037846,0.139223412,0.136682978,0.13511505,0.134515274,0.133308449,0.132625995,0.13029316,0.130255822,0.12830547,0.127957416,0.124815897,0.124591961
kampo_2457,5.575794383,5281804,Prunetin,COC1=CC(=C2C(=C1)OC=C(C2=O)C3=CC=C(C=C3)O)O,25.21694887,34.78668997,91.42835029,44.64976357,78.24684648,7.546307609,0.334045201,0.324408371,-0.635980634,0.606913518,0.321094725,3.654326578,1.937832589,0.840062645,-0.580935611,4.3052,186.328,284.267,16.59525461,7.758389135,4.494726644,0.259053935,0.211631254,0.202016121,0.191772941,0.188878815,0.182192505,0.168930333,0.167937393,0.164144316,0.159261029,0.157728707,0.152844435,0.149463426,0.148018769,0.14695725,0.143886962,0.142371047,0.140843087,0.139584875,0.137270244,0.137130946,0.136091453,0.135851107,0.134484521,0.133791793,0.130204943,0.128768076,0.128205128,0.127635677,0.126601509
kampo_0796,5.575481045,24721438,Acicerone,COC1=C(C=C2C(=C1)OC=C(C2=O)C3=CC4=C(C=C3)OCO4)O,22.88741481,30.89810519,91.01735501,54.31073311,78.70121707,7.45483875,0.28711931,0.30540565,-0.38628273,0.5400627,0.29741242,3.57865439,1.37546788,0.73282733,-0.41721483,5.7635,198.3,312.277,16.95509083,7.174295069,4.957477588,0.25030036,0.221278102,0.211483557,0.200396786,0.191795009,0.183631122,0.174806838,0.169721656,0.16496478,0.16348952,0.159530343,0.156931672,0.154906669,0.152671756,0.147076127,0.145515927,0.144264755,0.140714266,0.140571846,0.137990037,0.136862563,0.136115535,0.133102622,0.132749237,0.13196094,0.130130391,0.129444811,0.128932439,0.12683595,0.125857404
kampo_1793,5.570542897,161300,Isoleurosine,CCC1CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,26.50127797,18.37058992,91.42393512,46.51618958,69.72221862,6.7651482,0.34283084,0.4851958,-1.20587696,0.52423542,0.37613275,3.80751849,0.77062558,0.73820096,-0.7101856,4.7296,554.509,794.99,21.14416041,11.27830118,10.72122183,0.204729246,0.203985884,0.197363227,0.191054814,0.184433788,0.182935753,0.179888469,0.175731482,0.173490632,0.169606513,0.16871088,0.167965601,0.16753225,0.163950553,0.162906247,0.16128512,0.159678089,0.159002735,0.157346508,0.155545186,0.154518905,0.152459941,0.151848759,0.15097758,0.149893576,0.148121815,0.146683486,0.146571688,0.146205243,0.144675926
kampo_1126,5.570461222,5280448,Calycosin,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,25.99413515,33.09992067,90.61637107,45.42791006,78.76625407,7.476966879,0.313456134,0.308671624,-0.397500356,0.500016628,0.28477838,3.576995664,1.507908422,0.741703233,-0.440564756,1.4903,181.957,284.267,16.62284744,7.034443835,4.54147602,0.25117424,0.218875854,0.20336777,0.196710992,0.189616595,0.184111203,0.17452007,0.167866915,0.163492193,0.162548765,0.160176835,0.156656327,0.154104575,0.15010282,0.146838566,0.145112607,0.143439096,0.142637074,0.139914932,0.13702572,0.136701662,0.134193964,0.132490693,0.131004939,0.130958617,0.129612588,0.12807377,0.126800568,0.125813067,0.125406002
kampo_1769,5.568052215,189062,Isochorismic acid,C=C(C(=O)O)OC1C=CC=C(C1O)C(=O)O,19.28429404,10.69933654,86.15492784,26.45463187,69.82383189,8.819792803,0.329935796,0.312370796,0.007849584,0.474254995,0.459348863,3.004050318,1.06018924,0.864684137,-0.464973105,2.2924,148.51,226.184,11.59318873,7.597215032,6.320750683,0.217765293,0.207301146,0.201320664,0.184542703,0.170357751,0.164671398,0.159314311,0.152902861,0.148652465,0.147203863,0.140114894,0.137826476,0.137311711,0.13705389,0.131350812,0.127382044,0.126359949,0.125688143,0.125151746,0.121459457,0.120173531,0.118650704,0.117706605,0.117507432,0.116161557,0.115700567,0.113883543,0.11330546,0.112256124,0.111382141
kampo_0869,5.564465741,2230,Arecoline,CN1CCC=C(C1)C(=O)OC,9.080119982,0.800426399,82.86925256,30.59288055,51.98354981,8.410318764,0.523891995,0.74048614,-1.229228489,0.535641949,0.467042175,3.963876111,2.680552344,1.109263108,-0.185536652,1.9068,123.493,155.197,10.1465624,7.550581494,4.80141449,0.193558377,0.184301222,0.161007261,0.137078313,0.133122113,0.129404609,0.127450231,0.118964061,0.113874465,0.111580991,0.11123718,0.110538766,0.108223937,0.105969248,0.105499699,0.104696694,0.104061521,0.102572519,0.102003346,0.101049909,0.099423345,0.098917839,0.098496937,0.097417463,0.096905798,0.096747354,0.096251949,0.095371615,0.094437624,0.094198325
kampo_1122,5.562164193,689043,Caffeic acid,C1=CC(=C(C=C1C=CC(=O)O)O)O,14.05813769,12.7851328,84.88675322,26.3426289,71.22408938,7.975339935,0.247534956,0.247932699,-0.167837828,0.34151356,0.343913516,3.179681731,0.582487319,0.598467142,-0.396671264,4.2731,127.997,180.159,12.10332608,7.454122847,3.39821386,0.222766763,0.205347242,0.200968669,0.167819024,0.153062005,0.147301438,0.146760985,0.138387235,0.137716387,0.135661281,0.130045776,0.129075561,0.126041417,0.124398224,0.124149575,0.123808345,0.118894754,0.118508687,0.118320791,0.118108376,0.116834714,0.115786305,0.115398818,0.113935444,0.111848066,0.111415647,0.108650775,0.107075553,0.106911851,0.105519737
