ID,name,cid,pIC50,vina_affinity,smiles
kampo_0534,"4,2',4'-Trihydroxy-6'-methoxydihydrochalcone",42607705,5.65,-7.84,COC1=CC(=CC(=C1C(=O)CCC2=CC=C(C=C2)O)O)O
kampo_1863,Kaempferide,5281666,5.64,-8.32,COC1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
kampo_0520,"4',5-Dihydroxy-7,8-dimethoxyflavone",14585506,5.64,-8.41,COC1=C(C2=C(C(=C1)O)C(=O)C=C(O2)C3=CC=C(C=C3)O)OC
kampo_2153,Morin,5281670,5.64,-9.07,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
kampo_2036,Lycopene,446925,5.64,-6.37,CC(=CCCC(=CC=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C)C)C
kampo_0830,Allicin,65036,5.63,-4.49,C=CCSS(=O)CC=C
kampo_0612,"5,7,2',6'-Tetrahydroxyflavone",5321865,5.63,-8.30,C1=CC(=C(C(=C1)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
kampo_1797,Isoliquiritigenin,638278,5.63,-8.52,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
kampo_2233,Neoxanthin,5282217,5.63,-7.69,CC(=CC=CC=C(C)C=CC=C(C)C=C=C1C(CC(CC1(C)O)O)(C)C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C
kampo_2819,Violaxanthin,448438,5.63,-9.52,CC(=CC=CC=C(C)C=CC=C(C)C=CC12C(CC(CC1(O2)C)O)(C)C)C=CC=C(C)C=CC34C(CC(CC3(O4)C)O)(C)C
kampo_1701,Hispaglabridin B,15228661,5.62,-8.76,CC1(C=CC2=C(O1)C=CC(=C2O)C3CC4=C(C5=C(C=C4)OC(C=C5)(C)C)OC3)C
kampo_2434,Preskimmianine,12305721,5.62,-6.64,CC(=CCC1=C(C2=C(C(=C(C=C2)OC)OC)NC1=O)OC)C
kampo_1673,Harmine,5280953,5.62,-7.20,CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
kampo_2625,Skimmianine,6760,5.61,-6.34,COC1=C(C2=C(C=C1)C(=C3C=COC3=N2)OC)OC
kampo_0433,"3',4',7-Trihydroxyisoflavone",5284648,5.60,-8.74,C1=CC(=C(C=C1C2=COC3=C(C2=O)C=CC(=C3)O)O)O
kampo_0782,"9H-Pyrido[3,4-B]indole",64961,5.60,-7.32,C1=CC=C2C(=C1)C3=C(N2)C=NC=C3
kampo_0119,"(2S)-5,7-Dihydroxy-6-(3-methylbut-2-enyl)-2-phenylchroman-4-one",6546086,5.60,-8.45,CC(=CCC1=C(C2=C(C=C1O)OC(CC2=O)C3=CC=CC=C3)O)C
